team,edition,jersey_color,shorts_color,trim_color,accent_color,wordmark_color,number_color,number_outline_color,player_name_color,stripe_style,shorts_stripe_style,collar_style,wordmark,wordmark_font,font_family,font_path,number,player_name,number_outline_width,trim_width,logo_team,shorts_logo_scale,show_shorts_logo,show_league_mark,show_jersey_logo,jersey_logo_x,jersey_logo_y,jersey_logo_scale,front_number_x,front_number_y,template_version,front_wordmark_size,front_number_size,back_name_size,back_number_size,front_wordmark_x,front_wordmark_y,back_name_x,back_name_y,back_number_x,back_number_y
Seattle,Association,#FFFFFF,#FFFFFF,#FFFFFF,#006241,#FFFFFF,#FFFFFF,#000000,#FFFFFF,Side panels,Side panels,Crew,BREW,SBC League,Bungee,,27,PLAYER,4,3.4,Seattle,0.75,True,False,True,12.0,15.0,0.7,0.0,45.0,6,35.0,90.0,50.0,110.0,0.0,29.0,0.0,18.0,0.0,37.5
Seattle,Icon,#006241,#006241,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,Double side,Double side,Crew,SEATTLE,Seattle,Poppins,,27,PLAYER,4,3.4,Seattle,0.75,True,True,True,12.0,15.0,0.7,0.0,45.0,6,35.0,60.0,36.0,80.0,0.0,29.0,0.0,18.0,0.0,43.0
Seattle,Statement,#006241,#006241,#000000,#FFFFFF,#FFFFFF,#000000,#FFFFFF,#000000,None,None,Crew,,Seattle,Poppins,,27,PLAYER,4,3.4,Seattle,0.75,True,False,True,0.0,40.0,3.0,12.0,20.0,6,35.0,50.0,50.0,110.0,0.0,29.0,0.0,18.0,0.0,37.5
St. Louis,Association,#FFFFFF,#FFFFFF,#B90E0A,#B7B1AE,#B90E0A,#B90E0A,#000000,#B90E0A,Side panels,Side panels,Crew,66ERS,SBC League,Bungee,,27,PLAYER,4,3.4,St. Louis,0.75,True,False,True,12.0,15.0,0.7,0.0,45.0,6,35.0,90.0,50.0,110.0,0.0,29.0,0.0,18.0,0.0,37.5
St. Louis,Icon,#B7B1AE,#B7B1AE,#B90E0A,#FFFFFF,#FFFFFF,#FFFFFF,#B90E0A,#FFFFFF,Double side,Double side,Crew,ST. LOUIS,St. Louis,Oswald,,27,PLAYER,4,3.4,St. Louis,0.75,True,True,True,12.0,15.0,0.7,0.0,45.0,6,35.0,60.0,36.0,80.0,0.0,29.0,0.0,18.0,0.0,43.0
St. Louis,Statement,#B7B1AE,#B7B1AE,#000000,#FFFFFF,#FFFFFF,#000000,#B90E0A,#000000,None,None,Crew,,St. Louis,Oswald,,27,PLAYER,4,3.4,St. Louis,0.75,True,False,True,0.0,40.0,3.0,12.0,20.0,6,35.0,50.0,50.0,110.0,0.0,29.0,0.0,18.0,0.0,37.5
Tampa Bay,Association,#FFFFFF,#FFFFFF,#313639,#FC8EAC,#313639,#313639,#000000,#313639,Side panels,Side panels,Crew,FLAMINGOS,SBC League,Bungee,,27,PLAYER,4,3.4,Tampa Bay,0.75,True,False,True,12.0,15.0,0.7,0.0,45.0,6,35.0,90.0,50.0,110.0,0.0,29.0,0.0,18.0,0.0,37.5
Tampa Bay,Icon,#FC8EAC,#FC8EAC,#313639,#FFFFFF,#FFFFFF,#FFFFFF,#313639,#FFFFFF,Double side,Double side,Crew,TAMPA BAY,Tampa Bay,Parisienne,,27,PLAYER,4,3.4,Tampa Bay,0.75,True,True,True,12.0,15.0,0.7,0.0,45.0,6,35.0,60.0,36.0,80.0,0.0,29.0,0.0,18.0,0.0,43.0
Tampa Bay,Statement,#FC8EAC,#FC8EAC,#000000,#FFFFFF,#FFFFFF,#000000,#313639,#000000,None,None,Crew,,Tampa Bay,Parisienne,,27,PLAYER,4,3.4,Tampa Bay,0.75,True,False,True,0.0,40.0,3.0,12.0,20.0,6,35.0,50.0,50.0,110.0,0.0,29.0,0.0,18.0,0.0,37.5
Tulsa,Association,#FFFFFF,#FFFFFF,#656565,#333333,#656565,#656565,#000000,#656565,Side panels,Side panels,Crew,TORNADO,SBC League,Bungee,,27,PLAYER,4,3.4,Tulsa,0.75,True,False,True,12.0,15.0,0.7,0.0,45.0,6,35.0,90.0,50.0,110.0,0.0,29.0,0.0,18.0,0.0,37.5
Tulsa,Icon,#333333,#333333,#656565,#FFFFFF,#FFFFFF,#FFFFFF,#656565,#FFFFFF,Double side,Double side,Crew,TULSA,Tulsa,Permanent Marker,,27,PLAYER,4,3.4,Tulsa,0.75,True,True,True,12.0,15.0,0.7,0.0,45.0,6,35.0,60.0,36.0,80.0,0.0,29.0,0.0,18.0,0.0,43.0
Tulsa,Statement,#333333,#333333,#000000,#FFFFFF,#FFFFFF,#000000,#656565,#000000,None,None,Crew,,Tulsa,Permanent Marker,,27,PLAYER,4,3.4,Tulsa,0.75,True,False,True,0.0,40.0,3.0,12.0,20.0,6,35.0,50.0,50.0,110.0,0.0,29.0,0.0,18.0,0.0,37.5
Vancouver,Association,#FFFFFF,#FFFFFF,#CACE00,#17780D,#CACE00,#CACE00,#000000,#CACE00,Side panels,Side panels,Crew,FOREST,SBC League,Bungee,,27,PLAYER,4,3.4,Vancouver,0.75,True,False,True,12.0,15.0,0.7,0.0,45.0,6,35.0,90.0,50.0,110.0,0.0,29.0,0.0,18.0,0.0,37.5
Vancouver,Icon,#17780D,#17780D,#CACE00,#FFFFFF,#FFFFFF,#FFFFFF,#CACE00,#FFFFFF,Double side,Double side,Crew,VANCOUVER,Vancouver,Shadows Into Light,,27,PLAYER,4,3.4,Vancouver,0.75,True,True,True,12.0,15.0,0.7,0.0,45.0,6,35.0,60.0,36.0,80.0,0.0,29.0,0.0,18.0,0.0,43.0
Vancouver,Statement,#17780D,#17780D,#000000,#FFFFFF,#FFFFFF,#000000,#CACE00,#000000,None,None,Crew,,Vancouver,Shadows Into Light,,27,PLAYER,4,3.4,Vancouver,0.75,True,False,True,0.0,40.0,3.0,12.0,20.0,6,35.0,50.0,50.0,110.0,0.0,29.0,0.0,18.0,0.0,37.5
Vegas,Association,#FFFFFF,#FFFFFF,#B8000A,#35654D,#B8000A,#B8000A,#000000,#B8000A,Side panels,Side panels,Crew,BLACKJACK,SBC League,Bungee,C:\Users\mppac\OneDrive\Documents\GitHub\Portfolio\SBC_Streamlit\.streamlit_cache\jersey_fonts\bungee.ttf,27,PLAYER,4,3.4,Vegas,0.75,True,False,True,12.0,15.0,0.7,0.0,45.0,6,35.0,90.0,50.0,110.0,0.0,29.0,0.0,18.0,0.0,37.5
Vegas,Icon,#000000,#000000,#B8000A,#B8000A,#35654D,#35654D,#FFFFFF,#35654D,Side panels,Double side,Crew,VEGAS,Vegas,Audiowide,C:\Users\mppac\OneDrive\Documents\GitHub\Portfolio\SBC_Streamlit\.streamlit_cache\jersey_fonts\audiowide.ttf,23,JAMES,4,3.4,Vegas,0.75,False,True,True,12.0,15.0,0.7,0.0,45.0,6,55.0,90.0,36.0,110.0,0.0,29.0,0.0,18.0,0.0,37.5
Vegas,Statement,#35654D,#35654D,#000000,#FFFFFF,#FFFFFF,#000000,#B8000A,#000000,None,None,Crew,,Vegas,Audiowide,C:\Users\mppac\OneDrive\Documents\GitHub\Portfolio\SBC_Streamlit\.streamlit_cache\jersey_fonts\audiowide.ttf,27,PLAYER,4,3.4,Vegas,0.75,True,False,True,0.0,40.0,3.0,12.0,20.0,6,35.0,50.0,50.0,110.0,0.0,29.0,0.0,18.0,0.0,37.5
